,ORG,max_shown,min_shown,median_shown,avg_shown,diff_to_low_avg,IQR
0,23XI,14.875,8.995,10.185,10.526563636363635,0.5473183533447674,1.1899999999999995
1,BM,14.42,12.88,13.5975,13.623750000000001,3.6445047169811335,0.5162500000000012
2,FRM,14.525,9.16,10.955,11.216242774566474,1.2369974915476067,1.4262499999999996
3,HMS,14.98,8.67,9.695,9.979245283018868,0.0,0.9375000000000018
4,JGR,14.945,7.805,9.94,10.289866071428571,0.31062078840970386,1.2599999999999998
5,JTG,14.805,9.485,10.565000000000001,11.053413461538462,1.074168178519594,1.459999999999999
6,KR,14.98,9.205,10.815,11.077920962199313,1.0986756791804453,1.6099999999999994
7,LF,14.805,9.965,12.075,12.385217391304348,2.4059721082854804,2.0999999999999996
8,LMC,14.91,9.03,10.675,10.950522088353413,0.9712768053345453,1.8200000000000003
9,PR,14.49,8.75,10.08,10.444255319148937,0.4650100361300691,1.4700000000000006
10,RCR,14.84,8.82,10.01,10.519603658536585,0.5403583755177177,1.3737500000000011
11,RFK,14.595,8.785,9.735,10.171882716049383,0.19263743303051584,1.067499999999999
12,RWR,14.98,9.66,11.69,11.906419354838711,1.9271740718198433,1.6624999999999996
13,SHR,14.98,8.47,9.905,10.18966275659824,0.21041747357937268,1.0850000000000009
14,SPI,14.805,8.715,10.245,10.560454545454546,0.5812092624356779,1.4700000000000006
15,TH,14.455,8.75,9.87,10.120597269624573,0.1413519866057058,0.9450000000000003
16,WBR,14.14,9.415,10.5875,10.88096153846154,0.9017162554426719,1.1987499999999986
